,no,date,lon,lat,depth,scale,month
74,小區域,2013-05-21 13:22:00,121.75,24.28,12.7,2.6,5
76,小區域,2013-05-21 15:37:00,121.77,24.28,14.0,3.4,5
78,第068號,2013-05-21 15:40:00,121.77,24.28,14.6,3.5,5
80,小區域,2013-05-21 16:14:00,121.97,24.43,14.0,3.7,5
82,第069號,2013-05-21 16:25:00,123.69,23.33,53.1,6.1,5
84,第070號,2013-05-21 18:20:00,121.76,24.27,12.9,3.5,5
86,小區域,2013-05-21 19:17:00,121.42,23.75,18.1,3.2,5
88,小區域,2013-05-21 20:14:00,121.78,24.28,13.7,3.0,5
90,小區域,2013-05-22 03:22:00,121.78,24.27,13.7,2.6,5
92,小區域,2013-05-22 05:21:00,121.77,24.28,13.5,3.1,5
94,小區域,2013-05-22 09:50:00,121.77,24.29,14.8,2.8,5
96,小區域,2013-05-22 16:44:00,120.75,23.16,6.9,2.5,5
98,小區域,2013-05-22 18:27:00,121.62,23.89,42.1,3.7,5
100,第071號,2013-05-23 14:27:00,121.52,24.09,19.9,3.8,5
102,小區域,2013-05-24 09:38:00,120.64,23.54,9.1,3.3,5
104,第072號,2013-05-25 14:08:00,121.84,24.79,71.4,3.6,5
106,小區域,2013-05-26 03:57:00,121.33,23.07,19.1,3.4,5
108,小區域,2013-05-26 10:28:00,121.77,24.29,14.1,2.7,5
110,小區域,2013-05-27 05:10:00,121.51,24.04,18.3,2.9,5
112,小區域,2013-05-27 07:41:00,122.39,24.9,15.5,4.5,5
114,第073號,2013-05-27 15:58:00,121.42,24.39,6.7,3.1,5
116,小區域,2013-05-28 12:00:00,120.46,23.45,6.2,2.6,5
118,小區域,2013-05-28 14:29:00,120.96,23.2,6.1,2.7,5
120,小區域,2013-05-29 09:33:00,122.36,24.01,29.4,4.8,5
122,小區域,2013-05-30 09:57:00,121.56,23.9,8.6,2.8,5
124,第074號,2013-05-30 11:14:00,121.64,23.92,46.9,4.8,5
126,小區域,2013-05-31 10:09:00,120.96,23.2,6.1,3.0,5
0,小區域,2013-06-01 15:06:00,121.46,23.94,17.5,2.8,6
2,小區域,2013-06-02 04:32:00,121.27,22.04,31.5,5.0,6
4,第075號,2013-06-02 13:43:00,120.97,23.86,14.5,6.5,6
6,小區域,2013-06-02 13:59:00,120.98,23.87,14.3,3.3,6
8,小區域,2013-06-02 14:12:00,120.93,23.8,11.9,3.5,6
10,小區域,2013-06-02 14:24:00,120.97,23.81,13.2,3.9,6
12,小區域,2013-06-02 17:02:00,120.96,23.77,13.7,3.1,6
14,第076號,2013-06-02 18:16:00,120.98,23.87,14.0,4.4,6
16,小區域,2013-06-04 03:35:00,121.74,24.64,6.9,2.7,6
18,小區域,2013-06-07 08:49:00,120.95,23.71,24.0,3.3,6
20,小區域,2013-06-07 12:37:00,121.64,24.32,24.1,2.9,6
22,第077號,2013-06-08 00:38:00,122.65,23.98,35.3,6.2,6
24,第078號,2013-06-08 02:22:00,121.63,24.3,23.0,3.5,6
26,小區域,2013-06-08 03:03:00,121.97,24.43,13.0,2.7,6
28,小區域,2013-06-08 23:37:00,120.84,22.66,8.4,2.9,6
30,小區域,2013-06-09 04:06:00,120.97,23.85,13.7,3.7,6
32,小區域,2013-06-09 11:09:00,120.54,23.17,15.6,3.5,6
34,小區域,2013-06-10 15:14:00,121.48,23.79,11.3,2.9,6
36,小區域,2013-06-11 10:48:00,120.71,23.54,7.4,3.1,6
38,小區域,2013-06-12 07:25:00,121.76,24.26,16.0,3.0,6
40,小區域,2013-06-13 13:15:00,121.96,24.45,21.0,3.3,6
42,小區域,2013-06-14 03:55:00,121.44,24.33,6.2,3.7,6
44,小區域,2013-06-15 10:32:00,121.58,21.92,12.4,3.3,6
46,小區域,2013-06-16 08:33:00,121.48,24.29,6.4,3.3,6
48,小區域,2013-06-17 16:18:00,121.49,24.28,6.4,3.7,6
50,小區域,2013-06-17 19:32:00,120.96,23.69,13.1,3.6,6
52,小區域,2013-06-18 03:37:00,122.21,24.78,8.7,4.0,6
54,小區域,2013-06-18 04:45:00,120.98,23.93,7.8,3.1,6
56,小區域,2013-06-18 05:10:00,120.98,23.93,8.4,2.6,6
58,小區域,2013-06-19 17:16:00,121.49,24.28,6.4,3.2,6
